Rep,Ticket Type,"04-02
 Tickets updated","04-02
 Tickets solved","04-03
 Tickets updated","04-03
 Tickets solved","04-04
 Tickets updated","04-04
 Tickets solved","04-05
 Tickets updated","04-05
 Tickets solved","04-06
 Tickets updated","04-06
 Tickets solved","04-07
 Tickets updated","04-07
 Tickets solved","04-08
 Tickets updated","04-08
 Tickets solved","04-09
 Tickets updated","04-09
 Tickets solved","04-10
 Tickets updated","04-10
 Tickets solved","04-11
 Tickets updated","04-11
 Tickets solved","04-12
 Tickets updated","04-12
 Tickets solved","04-13
 Tickets updated","04-13
 Tickets solved","04-14
 Tickets updated","04-14
 Tickets solved","04-15
 Tickets updated","04-15
 Tickets solved","04-16
 Tickets updated","04-16
 Tickets solved"
Rep A,Type 2,2,0,1,0,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,
Rep A,Type 3,9,7,13,12,,,,,,,8,8,10,7,8,8,,,,,,,,,4,3,11,9,10,10
Rep A,Type 4,6,4,8,3,,,,,,,4,2,6,4,8,2,,,,,,,,,7,5,6,4,6,5
Rep B,Type 1,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
Rep B,Type 2,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,
Rep B,Type 3,,,,,2,0,1,0,1,0,3,0,,,,,2,0,5,0,2,0,2,0,,,,,,
Rep B,Type 4,,,14,6,14,7,9,4,13,6,15,7,,,,,10,6,20,6,21,10,15,8,10,5,8,2,,
Rep C,Type 1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Rep C,Type 2,3,0,1,0,,,,,,,,,1,1,,,,,,,,,,,1,1,,,2,2
Rep C,Type 3,5,0,5,0,,,,,,,17,15,5,1,2,0,1,0,,,,,,,14,14,3,0,5,1
Rep C,Type 4,40,13,30,12,,,,,,,10,7,19,13,14,8,11,7,,,,,,,6,5,14,10,16,10
Rep D,Type 1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Rep D,Type 2,,,,,1,0,,,,,,,,,,,,,,,1,0,1,0,,,,,,
Rep D,Type 3,,,1,0,4,0,1,1,1,1,,,,,,,,,2,0,5,0,3,0,6,2,1,0,,
Rep D,Type 4,,,20,7,36,12,22,9,16,5,,,,,,,,,8,5,27,5,34,14,31,16,10,2,,
Rep E,Type 2,4,2,1,1,,,,,,,2,1,2,2,,,,,,,,,,,3,2,3,3,,
Rep E,Type 3,16,14,3,2,,,,,,,5,3,4,1,14,13,,,,,,,,,3,0,6,5,,
Rep E,Type 4,5,1,13,4,,,,,,,13,9,12,6,8,6,13,6,,,,,,,7,7,9,8,,
Rep F,Type 3,,,2,0,1,0,2,0,3,0,1,0,,,,,,,3,0,,,2,0,1,0,,,,
Rep F,Type 4,,,14,14,10,5,6,6,7,5,6,5,,,,,7,6,10,7,,,9,7,10,10,,,,
Ref G,Type 1,,,,,1,0,,,,,,,,,,,,,1,0,,,,,,,,,,
Ref G,Type 2,,,1,0,,,,,2,0,,,,,,,,,,,1,0,,,1,0,,,,
Ref G,Type 3,,,3,0,3,0,3,0,4,0,1,0,,,,,,,4,0,3,0,,,4,0,,,,
Ref G,Type 4,,,34,8,48,12,58,14,39,13,27,10,,,,,,,36,13,36,10,29,9,9,5,,,,
Rep H,Type 2,,,,,1,1,,,,,1,1,,,,,4,3,2,1,,,,,,,,,,
Rep H,Type 3,,,18,18,28,26,1,0,1,0,3,0,,,,,21,21,18,17,25,23,14,14,,,,,,
Rep H,Type 4,,,6,5,2,1,11,8,8,3,11,6,,,,,5,2,6,5,5,4,7,3,,,,,,
Rep I,Type 2,,,1,1,5,4,,,5,5,,,,,,,,,,,2,2,2,2,2,2,,,,
Rep I,Type 3,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Rep I,Type 4,,,1,1,3,3,1,0,2,1,1,1,,,,,,,1,1,1,0,1,1,,,,,,
Rep J,Type 1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
Rep J,Type 2,,,5,4,2,1,,,,,1,0,1,0,,,,,,,1,1,,,,,,,,
Rep J,Type 3,,,4,3,9,6,19,16,13,13,13,13,,,,,4,3,13,11,11,10,10,6,12,10,4,2,,
Rep J,Type 4,,,1,1,3,2,2,0,9,5,3,2,,,,,3,2,5,2,1,1,2,2,5,4,,,,
Rep K,Type 2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Rep K,Type 3,,,,,,,4,0,4,0,3,0,,,,,3,0,1,0,,,4,0,1,0,,,,
Rep K,Type 4,,,,,17,9,16,9,12,6,17,13,,,,,11,9,13,12,15,15,15,13,9,6,,,,
Rep L,Type 2,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rep L,Type 3,2,0,3,0,,,,,,,4,0,7,5,2,0,1,0,,,,,,,1,0,3,3,5,3
Rep L,Type 4,13,9,21,10,,,,,,,19,10,18,13,17,10,14,9,,,,,,,17,13,15,12,19,12
Rep M,Type 2,,,,,,,1,1,1,1,,,,,,,,,1,1,,,1,1,1,1,,,,
Rep M,Type 3,,,,,,,19,18,23,22,,,,,,,2,1,,,3,0,1,1,2,1,,,,
Rep M,Type 4,,,,,,,,,,,,,,,,,12,9,11,8,11,8,11,9,11,10,,,,
Rep N,Type 2,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,
Rep N,Type 3,,,2,0,3,1,1,0,1,0,1,0,,,,,2,1,3,2,,,,,,,,,,
Rep N,Type 4,,,9,6,13,7,14,8,9,5,13,8,,,,,12,6,12,8,10,7,16,10,10,10,,,,
Rep O,Type 1,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,
Rep O,Type 2,3,3,3,2,,,,,,,,,1,1,1,0,3,1,,,,,,,1,0,,,1,1
Rep O,Type 3,20,17,19,16,,,,,7,7,21,21,20,18,12,9,14,14,,,5,4,4,4,11,11,14,13,20,18
Rep O,Type 4,11,8,3,3,,,,,,,2,1,4,4,10,8,6,3,2,0,,,,,3,3,5,5,3,2
Rep P,Type 1,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,
Rep P,Type 2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2
Rep P,Type 3,2,0,7,0,,,,,,,2,0,3,0,5,0,2,0,,,,,,,,,1,0,3,0
Rep P,Type 4,18,7,26,10,,,,,,,15,6,18,11,22,17,18,14,,,,,,,,,13,3,18,15
Rep Q,Type 1,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
Rep Q,Type 2,,,,,,,,,2,1,,,,,,,,,,,,,,,1,1,,,,
Rep Q,Type 3,,,8,8,12,10,26,23,21,18,3,0,,,,,2,0,1,0,,,1,0,,,1,0,,
Rep Q,Type 4,,,10,5,8,4,2,2,1,0,11,9,,,,,13,9,12,9,12,6,16,12,8,4,,,,
Rep R,Type 2,1,1,1,0,,,,,,,,,,,,,1,1,,,,,,,,,,,1,0
Rep R,Type 3,4,3,8,6,,,,,,,6,5,2,2,2,2,5,4,,,,,,,2,2,,,3,2
Rep R,Type 4,12,8,8,5,,,,,,,9,5,11,4,14,8,8,5,,,,,,,8,5,,,10,7
Rep S,Type 2,1,0,,,,,,,,,,,,,1,0,1,1,,,,,,,1,1,1,1,,
Rep S,Type 3,3,0,1,1,,,,,,,2,1,,,5,2,2,1,,,,,,,4,4,4,0,3,1
Rep S,Type 4,11,7,13,7,,,,,,,16,10,,,14,11,12,6,,,,,,,15,10,19,15,15,8
Rep T,Type 1,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,
Rep T,Type 2,,,1,1,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,
Rep T,Type 3,,,3,0,3,0,6,0,,,,,,,,,3,3,9,8,9,5,20,18,2,2,,,,
Rep T,Type 4,,,13,5,11,6,14,10,1,1,,,,,,,9,5,13,5,4,2,13,11,7,3,,,,
